date,plot,flow_gallons,nitrate_mg_ml,ammonia_mg_l,sample_y_n,flow_l,year(date),approx_nitrate_mg_l,approx_ammonia_mg_l,growing_season,treatment,nitrate_loss_mg,ammonia_loss_mg,total_n_loss_mg,cumulative_n_loss_mg
2023-01-01,1,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,2,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,3,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,4,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,5,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,6,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,7,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,8,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,9,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,10,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,11,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,12,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,13,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,14,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-01,15,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,1,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,2,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,3,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,4,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,5,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,6,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,7,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,8,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,9,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,10,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,11,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,12,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,13,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,14,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-02,15,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-03,1,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-03,2,241,NA,NA,NA,912.28381,2023,NA,NA,2022,Soy,NA,NA,0,0
2023-01-03,3,0,NA,NA,NA,0,2023,NA,NA,2022,Soy,NA,NA,0,0
