LI-8200,CHAMBER,CHAMBER,CHAMBER,LI-8200,LI-8200,LI-7820,LI-7820,LI-7820,LI-7820,CHAMBER
DATE_TIME initial_value,EC_2 mean,SWC_2 mean,TS_2 mean,LABEL,COMMENT,FN2O_DRY LIN,FN2O_DRY,FN2O_DRY R2,FN2O_DRY LIN_R2,COLLAR_HEIGHT
[YYYY-MM-DD HH:MM:SS],[S+1m-1],[m+3m-3],[C],[#],[#],[nmol+1m-2s-1],[nmol+1m-2s-1],[#],[#],[cm]
2023/06/16 09:28:11,0.021670,0.163670,20.733330,15_I,,0.043980,0.053070,0.253250,0.252750,2.000000
2023/06/16 09:32:11,0.021000,0.165000,21.333330,15_R_real,Last one was I not R,0.061180,0.076170,0.348220,0.355950,2.000000
2023/06/16 09:46:28,0.004000,0.039000,22.895000,11_R_real,Last one was I not R,0.145700,0.171770,0.818350,0.813860,2.000000
2023/06/16 09:49:56,0.009000,0.088460,23.687500,11_I_real,Last one was I not R,1.205510,1.266700,0.999330,0.999200,2.000000
2023/06/16 09:58:34,0.024000,0.170950,24.900000,06_I,Last one was I not R,0.019320,0.011490,0.015360,0.049260,2.000000
2023/06/16 10:01:44,0.024000,0.172500,25.000000,06_R,Last one was I not R,0.028590,0.042660,0.109380,0.109800,2.000000
2023/06/16 10:09:12,0.032140,0.203680,24.002500,08_I,Last one was I not R,0.054470,0.118810,0.464920,0.441280,2.000000
2023/06/16 10:12:24,0.038940,0.240170,24.532500,08_R,Last one was I not R,0.071280,0.071020,0.536450,0.544760,2.000000
2023/06/16 10:17:31,0.012000,0.112000,24.550000,10_I,Last one was I not R,0.093760,0.124280,0.682800,0.687530,2.000000
2023/06/16 10:20:43,0.012000,0.113000,25.100000,10_R,Last one was I not R,0.143900,0.165480,0.795350,0.794230,2.000000
2023/06/16 10:26:07,0.010300,0.099600,25.490000,04_I,Last one was I not R,0.023860,0.023860,0.117860,0.117860,2.000000
2023/06/16 10:29:37,0.013000,0.124650,26.710000,04_R,Last one was I not R,0.084270,0.105220,0.618000,0.620300,2.000000
2023/06/16 10:35:06,0.008920,0.083920,26.400000,01_I,Last one was I not R,0.146300,0.498900,0.832550,0.756770,2.000000
2023/06/16 10:38:22,0.011000,0.105770,26.700000,01_R,Last one was I not R,0.086570,0.086570,0.921650,0.921650,2.000000
