date,plot,flow_gallons,nitrate_mg_ml,ammonia_mg_l,sample_y_n,flow_l,approx_nitrate_mg_l,approx_ammonia_mg_l,nitrate_loss_mg,ammonia_loss_mg,total_n_loss_mg,year,treatment,cumulative_flow_l,cumulative_n_loss_mg
2023-01-01,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-01,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-01,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-01,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-01,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-01,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-01,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-01,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-01,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-01,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-01,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-01,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-01,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-01,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-01,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-02,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-02,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-02,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-02,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-02,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-02,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-02,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-02,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-02,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-02,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-02,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-02,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-02,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-02,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-02,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-03,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-03,02,241,NA,NA,NA,912.28381,NA,NA,NA,NA,NA,2023,Sorghum,912.28381,0
2023-01-03,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-03,04,184,NA,NA,NA,696.51544,NA,NA,NA,NA,NA,2023,Soy,696.51544,0
2023-01-03,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-03,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-03,07,7,NA,NA,NA,26.49787,NA,NA,NA,NA,NA,2023,Sorghum + Rye,26.49787,0
2023-01-03,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-03,09,48,NA,NA,NA,181.69968,NA,NA,NA,NA,NA,2023,Sorghum + Rye,181.69968,0
2023-01-03,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-03,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-03,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-03,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-03,14,2612,NA,NA,NA,9887.49092,NA,NA,NA,NA,NA,2023,Corn,9887.49092,0
2023-01-03,15,4,NA,NA,NA,15.14164,NA,NA,NA,NA,NA,2023,Sorghum,15.14164,0
2023-01-04,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-04,02,30,NA,NA,NA,113.5623,NA,NA,NA,NA,NA,2023,Sorghum,1025.84611,0
2023-01-04,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-04,04,243,NA,NA,NA,919.85463,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-04,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-04,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-04,07,2,NA,NA,NA,7.57082,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-04,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-04,09,2,NA,NA,NA,7.57082,NA,NA,NA,NA,NA,2023,Sorghum + Rye,189.2705,0
2023-01-04,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-04,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-04,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-04,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-04,14,715,NA,NA,NA,2706.56815,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-04,15,2,NA,NA,NA,7.57082,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-05,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-05,02,3,NA,NA,NA,11.35623,NA,NA,NA,NA,NA,2023,Sorghum,1037.20234,0
2023-01-05,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-05,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-05,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-05,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-05,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-05,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-05,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,189.2705,0
2023-01-05,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-05,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-05,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-05,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-05,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-05,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-06,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-06,02,2,NA,NA,NA,7.57082,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-06,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-06,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-06,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-06,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-06,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-06,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-06,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,189.2705,0
2023-01-06,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-06,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-06,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-06,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-06,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-06,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-07,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-07,02,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,1044.77316,0
2023-01-07,03,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-07,04,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,1616.37007,0
2023-01-07,05,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,0,0
2023-01-07,06,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-07,07,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,34.06869,0
2023-01-07,08,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-07,09,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,189.2705,0
2023-01-07,10,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Soy,0,0
2023-01-07,11,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
2023-01-07,12,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-07,13,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum + Rye,0,0
2023-01-07,14,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,12594.05907,0
2023-01-07,15,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Sorghum,22.71246,0
2023-01-08,01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,2023,Corn,0,0
