LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8200,LI-7820,LI-7820,LI-7820,LI-7820,LI-8200
DATE_TIME initial_value,TA mean,EC_2 mean,SWC_2 mean,TS_2 mean,LABEL,FN2O_DRY LIN,FN2O_DRY,FN2O_DRY R2,FN2O_DRY LIN_R2,REMARK
[YYYY-MM-DD HH:MM:SS],[C],[S+1m-1],[m+3m-3],[C],[#],[nmol+1m-2s-1],[nmol+1m-2s-1],[#],[#],[#]
2023/06/23 09:03:52,26.069800,0.018020,0.160490,21.240680,15_i,0.354210,0.411570,0.986990,0.985850,
2023/06/23 09:07:25,28.316230,0.018320,0.164370,24.043330,15_r,0.628100,0.676230,0.993740,0.993520,
2023/06/23 09:13:58,27.383260,0.023590,0.164820,26.818330,14_i,0.365850,0.420420,0.982910,0.981980,
2023/06/23 09:17:19,27.660790,0.024000,0.164270,26.980000,14_r,0.218620,0.218620,0.976560,0.976560,
2023/06/23 09:21:31,29.740570,0.014000,0.124930,27.933330,13_i,0.071390,0.091330,0.799430,0.805640,
2023/06/23 09:24:43,30.462690,0.016000,0.145900,28.590000,13_r,0.064750,0.073810,0.746180,0.752250,
2023/06/23 09:28:09,30.543630,0.021000,0.168920,29.255000,12_i,0.057310,0.066360,0.699300,0.706270,
2023/06/23 09:31:23,32.303010,0.021000,0.168000,29.500000,12_r,0.120620,0.141120,0.923660,0.926810,
2023/06/23 09:36:30,30.613740,0.012020,0.109580,30.657500,11_i,3.408470,3.408470,0.998710,0.998710,
2023/06/23 09:40:06,30.712760,0.014000,0.132980,30.700000,11_r,0.039450,0.029770,0.218330,0.531650,
2023/06/23 09:43:46,32.371400,0.033220,0.224120,31.891670,6_i,0.108700,0.118560,0.882950,0.882700,
2023/06/23 09:46:58,33.022040,0.033600,0.227800,32.970000,6_r,0.099290,0.199030,0.890260,0.863410,
2023/06/23 09:50:49,33.477620,0.016000,0.151050,34.006670,7_i,0.102330,0.147390,0.895360,0.886890,
2023/06/23 09:54:02,34.454840,0.016000,0.154000,34.637500,7_r,0.163290,0.193060,0.913000,0.918420,
2023/06/23 10:02:08,33.394720,0.060680,0.242580,34.900000,8_i_actual,0.123740,0.133730,0.917360,0.921850,
2023/06/23 10:05:44,34.776250,0.061480,0.239100,34.607500,8_r,0.114800,0.129240,0.896510,0.902680,
2023/06/23 10:10:17,34.717920,0.019000,0.134250,34.825000,9_i,0.129550,0.134990,0.910400,0.910320,
2023/06/23 10:13:29,35.536950,0.025000,0.178300,35.780000,9_r,0.060760,0.062700,0.702030,0.717320,
2023/06/23 10:17:01,34.787260,0.010000,0.091920,35.853330,10_i,0.369120,0.402710,0.988210,0.987890,
2023/06/23 10:20:15,34.979100,0.010000,0.090000,35.206670,10_r,0.454550,0.482980,0.991280,0.991110,
2023/06/23 10:24:06,34.033750,0.016500,0.146160,34.273330,5_i,0.086640,0.120360,0.799120,0.804220,
2023/06/23 10:27:33,34.236660,0.016120,0.147650,33.446670,5_r,0.121330,0.155070,0.856780,0.849680,
2023/06/23 10:31:23,34.968160,0.018100,0.145200,33.310000,4_i,0.301410,0.392510,0.973890,0.969450,
2023/06/23 10:34:47,34.701750,0.023000,0.181500,34.400000,4_r,0.061280,0.167470,0.725950,0.670860,
2023/06/23 10:38:09,34.219730,0.033000,0.217450,34.695000,3_i,0.382740,0.392980,0.983590,0.983570,
2023/06/23 10:41:44,35.013470,0.032970,0.219550,34.600000,3_r,0.650780,0.650780,0.995240,0.995240,
2023/06/23 10:45:29,35.355440,0.032100,0.183300,34.855000,2_i,0.095080,0.113920,0.775480,0.781770,
2023/06/23 10:48:41,36.262520,0.038000,0.215950,35.480000,2_r,0.218780,0.242830,0.963170,0.962580,
2023/06/23 10:52:49,34.331470,0.013500,0.120030,35.690000,1_i,0.858830,0.965440,0.996590,0.995970,
2023/06/23 10:56:03,34.164240,0.013000,0.122770,35.246670,1_r,0.168000,0.184820,0.944760,0.943620,
