LI-8200,CHAMBER,CHAMBER,CHAMBER,CHAMBER,LI-8200,CHAMBER,CHAMBER,LI-7820,LI-7820,LI-7820,LI-7820,LI-8200
DATE_TIME initial_value,TA mean,EC_2 mean,SWC_2 mean,TS_2 mean,LABEL,LATITUDE,LONGITUDE,FN2O_DRY LIN,FN2O_DRY,FN2O_DRY R2,FN2O_DRY LIN_R2,REMARK
[YYYY-MM-DD HH:MM:SS],[C],[S+1m-1],[m+3m-3],[C],[#],[degrees],[degrees],[nmol+1m-2s-1],[nmol+1m-2s-1],[#],[#],[#]
2024/07/10 10:49:47,24.014740,0.060480,0.389780,22.690000,10_F,-9999.000000,-9999.000000,0.151820,0.205180,0.971520,0.966970,First row - 15-11 - in previous file
2024/07/10 10:52:55,24.834900,0.063100,0.407600,22.910000,10_R,42.000150,-93.703220,0.112640,0.151550,0.931490,0.921750,First row - 15-11 - in previous file
2024/07/10 10:56:10,24.822890,0.060170,0.393170,23.200000,10_I,42.000150,-93.703190,0.053550,0.061760,0.727990,0.734400,First row - 15-11 - in previous file
2024/07/10 11:00:48,25.474250,0.065580,0.377400,23.396670,9_I,42.000140,-93.703670,0.043470,0.041520,0.414810,0.612080,First row - 15-11 - in previous file
2024/07/10 11:03:56,25.421940,0.067550,0.379950,24.210000,9_R,42.000120,-93.703680,0.012830,0.012830,0.101410,0.103600,First row - 15-11 - in previous file
2024/07/10 11:08:23,25.260570,0.028800,0.229130,24.255000,08_R,42.000090,-93.704140,0.923550,0.930010,0.999270,0.999270,First row - 15-11 - in previous file
2024/07/10 11:12:33,24.769120,0.035140,0.299220,24.657500,08_I,42.000060,-93.704110,2.180640,2.180640,0.998490,0.998490,First row - 15-11 - in previous file
2024/07/10 11:16:59,24.072560,0.036720,0.315350,23.358330,07_I,42.000080,-93.704530,0.426480,0.428420,0.992970,0.992970,First row - 15-11 - in previous file
2024/07/10 11:20:08,22.173020,0.033480,0.286270,21.589170,07_R,42.000060,-93.704530,0.214040,0.214040,0.985040,0.985040,First row - 15-11 - in previous file
2024/07/10 11:24:31,25.939970,0.046740,0.297310,25.531670,06_R,42.000080,-93.704800,0.121790,0.134220,0.925960,0.931090,First row - 15-11 - in previous file
2024/07/10 11:27:42,25.246390,0.054000,0.350000,25.400000,06_F,42.000190,-93.704980,0.094020,0.100900,0.910720,0.916070,First row - 15-11 - in previous file
2024/07/10 11:30:56,25.108290,0.054000,0.350000,25.235000,06_I,42.000180,-93.704960,0.282930,0.282930,0.994180,0.994180,First row - 15-11 - in previous file
2024/07/10 11:35:16,27.100410,0.005500,0.023500,25.165000,01_R,42.000800,-93.705010,0.129910,0.136570,0.970170,0.970010,First row - 15-11 - in previous file
2024/07/10 11:38:25,26.428720,0.050020,0.316450,24.920000,01_I,42.000800,-93.704930,0.082440,0.085010,0.828860,0.834240,First row - 15-11 - in previous file
2024/07/10 11:43:31,24.748880,0.065410,0.325300,23.779170,02_R,42.000780,-93.704540,0.020830,0.020830,0.486630,0.486630,First row - 15-11 - in previous file
2024/07/10 11:46:42,26.962120,0.085130,0.430470,26.530000,02_I,42.000780,-93.704530,0.045730,0.045730,0.733930,0.733930,First row - 15-11 - in previous file
2024/07/10 11:51:41,27.763960,0.057730,0.324820,26.385000,03_R,42.000790,-93.704110,0.193990,0.197530,0.988510,0.988490,First row - 15-11 - in previous file
2024/07/10 11:54:52,27.821030,0.062480,0.349620,27.055000,03_I,42.000800,-93.704050,0.026220,0.026220,0.485080,0.485080,First row - 15-11 - in previous file
2024/07/10 11:59:42,26.957020,0.039340,0.303510,26.611760,02_F,42.000820,-93.703610,0.037230,0.047020,0.727460,0.720890,First row - 15-11 - in previous file
2024/07/10 12:07:21,26.619650,0.041160,0.323540,26.030000,04_I3,42.000870,-93.703600,0.068170,0.068480,0.850500,0.893120,First row - 15-11 - in previous file
2024/07/10 12:10:39,26.342930,0.042000,0.326000,25.927270,04_R,42.000840,-93.703630,0.069640,0.072960,0.905940,0.911090,First row - 15-11 - in previous file
2024/07/10 12:13:50,24.268920,0.039700,0.303770,24.023330,04_F,42.000850,-93.703620,0.034270,0.040010,0.573040,0.602730,First row - 15-11 - in previous file
2024/07/10 08:38:59,21.468880,0.022590,0.254870,20.955000,15_R,41.999300,-93.702800,0.305040,0.335880,0.991850,0.991480,
2024/07/10 08:42:12,21.707060,0.023000,0.259040,21.641670,15_I,41.999310,-93.702780,0.278640,0.299270,0.991920,0.991750,
2024/07/10 08:46:45,21.730210,0.024880,0.233320,21.717500,14_I,41.999360,-93.703450,0.025250,0.031680,0.497040,0.490870,
2024/07/10 08:49:53,22.049250,0.025500,0.240150,22.010000,14_R,41.999450,-93.703520,0.035050,0.034720,0.312880,0.349500,
2024/07/10 08:55:02,22.338850,0.025780,0.242580,22.236670,13_R,41.999410,-93.703870,0.030720,0.059730,0.559090,0.534030,
2024/07/10 08:58:28,22.672470,0.022000,0.217000,22.600000,13_I,41.999430,-93.703910,0.036260,0.041990,0.500260,0.495230,
2024/07/10 09:03:18,22.803670,0.018750,0.163500,22.850000,12_I,41.999570,-93.704350,0.020090,0.020090,0.267930,0.267930,
2024/07/10 09:06:30,22.739230,0.022000,0.193500,23.000000,12_R,41.999530,-93.704390,0.027880,0.026280,0.132160,0.333660,
2024/07/10 09:11:03,22.303650,0.022130,0.217600,22.826670,11_R,41.999610,-93.704820,0.031920,0.038050,0.512000,0.515820,
2024/07/10 09:14:11,21.067940,0.020720,0.206500,21.658330,11_I,41.999490,-93.704830,0.046330,0.046510,0.659830,0.667260,
