date_time_initial_value_yyyy_mm_dd_hh_mm_ss,ec_2_mean_s_1m_1,swc_2_mean_m_3m_3,ts_2_mean_c,plot,location,comment_number,fn2o_dry_lin_nmol_1m_2s_1,fn2o_dry_nmol_1m_2s_1,fn2o_dry_r2_number,fn2o_dry_lin_r2_number,collar_height_cm,date,growing_season,treatment,selected_flux,flux_g_n_ha_day
2023/06/19 09:52:10,0.03603,0.29543,25.2625,15,i,NA,0.73346,0.74334,0.99654,0.99654,2,2023-06-19,2023,Sorghum,0.74334,17.991487373184
2023/06/19 09:56:03,0.0355,0.299,26.04,15,r,NA,1.16462,1.16462,0.99773,0.99773,2,2023-06-19,2023,Sorghum,1.16462,28.187970544512005
2023/06/19 10:00:50,0.0362,0.2339,26.505,14,i,NA,8.36466,8.36466,0.99968,0.99968,2,2023-06-19,2023,Corn,8.36466,202.454697407616
2023/06/19 10:04:01,0.04305,0.2719,27.035,14,r,NA,0.79202,0.79202,0.99594,0.99594,2,2023-06-19,2023,Corn,0.79202,19.169717530752
2023/06/19 10:08:50,0.03054,0.23218,28.07917,13,i,NA,0.81318,0.85229,0.9975,0.99741,2,2023-06-19,2023,Sorghum + Rye,0.85229,20.628467152704
2023/06/19 10:12:05,0.03598,0.27602,29.04,13,r,NA,0.30639,0.32849,0.98257,0.98232,2,2023-06-19,2023,Sorghum + Rye,0.32849,7.950633205824
2023/06/19 10:16:30,0.02492,0.18542,29.405,12,i,NA,0.38706,0.43324,0.98961,0.98879,2,2023-06-19,2023,Sorghum + Rye,0.43324,10.485957959424
2023/06/19 10:19:41,0.03672,0.27715,29.5,12,r,NA,0.77865,0.87482,0.99552,0.99482,2,2023-06-19,2023,Sorghum + Rye,0.87482,21.173773756032
2023/06/19 10:25:00,0.04113,0.292,28.79,11,i,NA,14.71657,15.09398,0.99925,0.99923,2,2023-06-19,2023,Corn,15.09398,365.328316222848
2023/06/19 10:28:39,0.04477,0.31317,28.07,11,r,NA,1.76047,1.78698,0.99957,0.99956,2,2023-06-19,2023,Corn,1.78698,43.251309099648
2023/06/19 10:33:00,0.04193,0.27264,28.81833,6,i,NA,0.14113,0.17037,0.89027,0.88693,2,2023-06-19,2023,Soy,0.17037,4.123563515712
2023/06/19 10:36:16,0.04542,0.29145,29.8,6,r,NA,0.34697,0.39458,0.98374,0.98275,2,2023-06-19,2023,Soy,0.39458,9.550247649408
2023/06/19 10:42:46,0.0269,0.23348,30.1375,7,i,NA,0.98823,0.98823,0.99738,0.99738,2,2023-06-19,2023,Sorghum + Rye,0.98823,23.918701491648
2023/06/19 10:46:36,0.033,0.28747,31.6225,7,r,NA,1.46137,1.51349,0.99906,0.99902,2,2023-06-19,2023,Sorghum + Rye,1.51349,36.631872661824
2023/06/19 10:51:20,0.10172,0.34576,31.1,8,i,NA,1.3887100000000001,1.44947,0.99767,0.9976,2,2023-06-19,2023,Corn,1.44947,35.082359623872
2023/06/19 10:54:38,0.10324,0.35383,31.1,8,r,NA,1.11048,1.11048,0.99862,0.99862,2,2023-06-19,2023,Corn,1.11048,26.877588853247996
2023/06/19 10:59:40,0.05137,0.2734,31.025,9,i,NA,0.81948,0.91187,0.99761,0.99706,2,2023-06-19,2023,Sorghum + Rye,0.91187,22.070516306112
2023/06/19 11:02:52,0.06613,0.3572,32.04667,9,r,NA,2.04418,2.06936,0.99955,0.99955,2,2023-06-19,2023,Sorghum + Rye,2.06936,50.085915342336
2023/06/19 11:07:40,0.0493,0.25893,32.23667,10,i,NA,1.82644,1.93993,0.99947,0.99931,2,2023-06-19,2023,Soy,1.93993,46.953246293568
2023/06/19 11:10:50,0.06414,0.34329,32.7,10,r,NA,0.9297,0.9297,0.99863,0.99863,2,2023-06-19,2023,Soy,0.9297,22.50206609472
2023/06/19 11:15:46,0.02632,0.16937,32.195,5,i,NA,0.33292,0.42452,0.98644,0.98346,2,2023-06-19,2023,Sorghum,0.42452,10.274902762752
2023/06/19 11:18:57,0.03191,0.21137,32.4,5,r,NA,0.42668,0.42668,0.99305,0.99305,2,2023-06-19,2023,Sorghum,0.42668,10.327182490368
2023/06/19 11:22:50,0.027,0.1993,31.96,4,i,NA,0.21025,0.24544,0.96372,0.9623,2,2023-06-19,2023,Soy,0.24544,5.940526086144
2023/06/19 11:26:00,0.028,0.23482,31.4175,4,r,NA,0.31878,0.39717,0.98307,0.97857,2,2023-06-19,2023,Soy,0.39717,9.612934915392
2023/06/19 11:30:10,0.05398,0.28975,31.4,3,i,NA,1.87684,1.93657,0.99929,0.99926,2,2023-06-19,2023,Sorghum,1.93657,46.87192227283201
2023/06/19 11:33:27,0.0545,0.29483,31.4,3,r,NA,5.06725,5.15351,0.99982,0.99981,2,2023-06-19,2023,Sorghum,5.15351,124.733379197376
2023/06/19 11:37:22,0.06412,0.3267,31.36333,2,i,NA,0.58911,0.6668,0.99395,0.99317,2,2023-06-19,2023,Sorghum,0.6668,16.13894554368
2023/06/19 11:40:39,0.0665,0.32803,32.63,2,r,NA,0.64336,0.71776,0.99638,0.9957,2,2023-06-19,2023,Sorghum,0.71776,17.372359858175997
2023/06/19 11:45:30,0.06237,0.34018,31.82667,1,i,NA,4.03477,4.03477,0.99377,0.99377,2,2023-06-19,2023,Corn,4.03477,97.65586879315198
2023/06/19 11:48:39,0.06323,0.34483,31.47,1,r,NA,0.69673,0.69673,0.99671,0.99671,2,2023-06-19,2023,Corn,0.69673,16.863358621248
