year_month_day,growing_season,plot,Treatment,RowvsInterrow,best_flux_nmol_1m_2s_1,ts_2_mean,swc_2_mean,gnha_day,gnha_day_no_negative
2023-03-15,2023,01,Corn,Interrow,0.2223,13.03,0.4223,5.3804553004799995,5.3804553004799995
2023-03-15,2023,01,Corn,Row,0.11477,11.465,0.42144,2.777844601152,2.777844601152
2023-03-15,2023,02,Sorghum,Interrow,-0.02153,11.25,0.49753,-0.521103025728,0
2023-03-15,2023,02,Sorghum,Row,0.01361,11.15167,0.497,0.329410691136,0.329410691136
2023-03-15,2023,03,Sorghum,Interrow,-0.00862,10.81333,0.31485,-0.2086348389119999,0
2023-03-15,2023,03,Sorghum,Row,0.1809,10.735,0.3955,4.37842718784,4.37842718784
2023-03-15,2023,04,Soy,Row,0.15957,9.45,0.4356,3.862164877632,3.862164877632
2023-03-15,2023,05,Sorghum,Interrow,0.0435,9.07167,0.50582,1.0528556256,1.0528556256
2023-03-15,2023,05,Sorghum,Row,0.05435,9.1775,0.5055,1.3154644425600002,1.3154644425600002
2023-03-22,2023,15,Sorghum,Row,0.13141,11.33667,0.41177,3.180592132416,3.180592132416
2023-03-22,2023,10,Soy,Interrow,0.05132,8.90917,0.487,1.242127602432,1.242127602432
2023-03-22,2023,10,Soy,Row,0.00825,7.44333,0.48961,0.1996795152,0.1996795152
2023-03-22,2023,05,Sorghum,Interrow,0.1206,6.51333,0.34817,2.91895145856,2.91895145856
2023-03-22,2023,05,Sorghum,Row,0.12064,6.23833,0.37088,2.919919601664,2.919919601664
2023-03-22,2023,04,Soy,Interrow,0.00346,6.065,0.40088,0.08374437849600001,0.08374437849600001
2023-03-22,2023,04,Soy,Row,0.33445,5.675,0.39875,8.09488652832,8.09488652832
2023-03-22,2023,09,Sorghum + Rye,Interrow,0.12618,5.6,0.42138,3.054007421568,3.054007421568
2023-03-22,2023,09,Sorghum + Rye,Row,0.07781,5.6,0.465,1.883280373056,1.883280373056
2023-03-22,2023,14,Corn,Interrow,-0.01008,5.39667,0.3581,-0.243972062208,0
2023-03-22,2023,14,Corn,Row,-0.00666,5.0225,0.355,-0.161195826816,0
2023-03-22,2023,13,Sorghum + Rye,Interrow,0.07143,4.975,0.42125,1.7288615479679996,1.7288615479679996
2023-03-22,2023,13,Sorghum + Rye,Row,-0.00683,4.61167,0.4195,-0.165310435008,0
2023-03-22,2023,08,Corn,Interrow,0.01382,4.39167,0.36462,0.334493442432,0.334493442432
2023-03-22,2023,08,Corn,Row,0.01607,4.69667,0.445,0.3889514920320001,0.3889514920320001
2023-03-22,2023,03,Sorghum,Interrow,0.0231,5.11,0.3586,0.55910264256,0.55910264256
2023-03-22,2023,03,Sorghum,Row,0.22916,5.3,0.42407,5.546491842816,5.546491842816
2023-03-22,2023,02,Sorghum,Interrow,-0.00702,5.47,0.4831,-0.16990911475200002,0
2023-03-22,2023,02,Sorghum,Row,0.01292,5.67167,0.481,0.31271022259200004,0.31271022259200004
2023-03-22,2023,07,Sorghum + Rye,Interrow,-0.00267,5.6425,0.44127,-0.06462355219200001,0
2023-03-22,2023,07,Sorghum + Rye,Row,0.02024,5.4,0.44,0.48988041062400006,0.48988041062400006
2023-03-22,2023,12,Sorghum + Rye,Interrow,0.00029,5.58667,0.3733,0.007019037504,0.007019037504
2023-03-22,2023,12,Sorghum + Rye,Row,0.0026,5.47167,0.37785,0.06292930176,0.06292930176
2023-03-22,2023,11,Corn,Interrow,-0.00368,5.5975,0.376,-0.08906916556800001,0
2023-03-22,2023,11,Corn,Row,0.02068,5.5,0.3745,0.500529984768,0.500529984768
2023-03-22,2023,06,Soy,Interrow,0.22073,6.25667,0.3876,5.342455683648001,5.342455683648001
2023-03-22,2023,06,Soy,Row,0.07261,6.67,0.3898,1.757421769536,1.757421769536
2023-03-22,2023,01,Corn,Interrow,0.00734,7.07167,0.43167,0.17765425958400002,0.17765425958400002
2023-03-22,2023,01,Corn,Row,0.05364,7.35333,0.431,1.2982799024640002,1.2982799024640002
2023-03-29,2023,15,Sorghum,Interrow,-0.04699,9.48403,0.23129,-1.137326111424,0
2023-03-29,2023,15,Sorghum,Row,-0.01827,8.1375,0.31567,-0.44219936275200006,0
2023-03-29,2023,10,Soy,Interrow,0.01733,2.08,0.285,0.4194479998080001,0.4194479998080001
2023-03-29,2023,10,Soy,Row,-0.00223,0.855,0.288,-0.053973978048,0
2023-03-29,2023,05,Sorghum,Interrow,0.01234,-0.66917,0.12296,0.298672147584,0.298672147584
2023-03-29,2023,05,Sorghum,Row,0.0811,-0.8,0.1265,1.9629101433600005,1.9629101433600005
2023-03-29,2023,04,Soy,Interrow,0.00572,-1.08833,0.13162,0.138444463872,0.138444463872
2023-03-29,2023,04,Soy,Row,0.02677,-1.02083,0.15158,0.6479297723519999,0.6479297723519999
2023-03-29,2023,09,Sorghum + Rye,Interrow,0.06825,-1.305,0.22067,1.6518941712000004,1.6518941712000004
2023-03-29,2023,09,Sorghum + Rye,Row,0.01642,-1.1,0.22608,0.397422744192,0.397422744192
2023-03-29,2023,14,Corn,Interrow,0.00734,-0.80583,0.11881,0.17765425958400002,0.17765425958400002
2023-03-29,2023,14,Corn,Row,-0.0016,-0.5,0.26957,-0.03872572416000001,0
