date,analyte,treatment,variable,n,mean,se,letter,shapiro_resid_p,anova_p,transformation
2023-05-18,Ammonium (NH4-N),Corn,ppm,4,10.446,10.337,,1.8368392101791785e-5,0.5522027667038665,Log-Transformed
2023-05-18,Ammonium (NH4-N),Sorghum,ppm,4,0.116,0.029,,1.8368392101791785e-5,0.5522027667038665,Log-Transformed
2023-05-18,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.137,0.02,,1.8368392101791785e-5,0.5522027667038665,Log-Transformed
2023-05-18,Ammonium (NH4-N),Soy,ppm,3,0.202,0.049,,1.8368392101791785e-5,0.5522027667038665,Log-Transformed
2023-05-18,Nitrate (NO3-N),Corn,ppm,4,5.16,4.076,a,3.118990406703708e-5,0.04151793244659731,Log-Transformed
2023-05-18,Nitrate (NO3-N),Sorghum,ppm,4,0.926,0.045,ab,3.118990406703708e-5,0.04151793244659731,Log-Transformed
2023-05-18,Nitrate (NO3-N),Sorghum + Rye,ppm,4,0.309,0.052,b,3.118990406703708e-5,0.04151793244659731,Log-Transformed
2023-05-18,Nitrate (NO3-N),Soy,ppm,3,0.921,0.163,ab,3.118990406703708e-5,0.04151793244659731,Log-Transformed
2023-05-18,Total Inorganic N,Corn,ppm,4,15.606,14.412,,2.0870828411507833e-5,0.14604608102636818,Log-Transformed
2023-05-18,Total Inorganic N,Sorghum,ppm,4,1.042,0.044,,2.0870828411507833e-5,0.14604608102636818,Log-Transformed
2023-05-18,Total Inorganic N,Sorghum + Rye,ppm,4,0.446,0.065,,2.0870828411507833e-5,0.14604608102636818,Log-Transformed
2023-05-18,Total Inorganic N,Soy,ppm,3,1.123,0.211,,2.0870828411507833e-5,0.14604608102636818,Log-Transformed
2023-12-14,Ammonium (NH4-N),Corn,ppm,4,0.289,0.127,,4.6146658624234623e-4,0.2117033118130951,Log-Transformed
2023-12-14,Ammonium (NH4-N),Sorghum,ppm,4,0.115,0.006,,4.6146658624234623e-4,0.2117033118130951,Log-Transformed
2023-12-14,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.112,0.013,,4.6146658624234623e-4,0.2117033118130951,Log-Transformed
2023-12-14,Ammonium (NH4-N),Soy,ppm,3,0.107,0.006,,4.6146658624234623e-4,0.2117033118130951,Log-Transformed
2023-12-14,Nitrate (NO3-N),Corn,ppm,4,1.053,0.209,ab,0.14809784949467075,0.016466397983516966,Raw Data
2023-12-14,Nitrate (NO3-N),Sorghum,ppm,4,0.972,0.078,ab,0.14809784949467075,0.016466397983516966,Raw Data
2023-12-14,Nitrate (NO3-N),Sorghum + Rye,ppm,4,0.646,0.073,b,0.14809784949467075,0.016466397983516966,Raw Data
2023-12-14,Nitrate (NO3-N),Soy,ppm,3,1.41,0.083,a,0.14809784949467075,0.016466397983516966,Raw Data
2023-12-14,Total Inorganic N,Corn,ppm,4,1.342,0.335,ab,0.014968291381448832,0.040152526759159694,Log-Transformed
2023-12-14,Total Inorganic N,Sorghum,ppm,4,1.086,0.077,ab,0.014968291381448832,0.040152526759159694,Log-Transformed
2023-12-14,Total Inorganic N,Sorghum + Rye,ppm,4,0.758,0.079,b,0.014968291381448832,0.040152526759159694,Log-Transformed
2023-12-14,Total Inorganic N,Soy,ppm,3,1.518,0.085,a,0.014968291381448832,0.040152526759159694,Log-Transformed
2024-06-07,Ammonium (NH4-N),Corn,ppm,3,2.044,1.479,a,2.881909294136815e-5,2.3884112899378478e-4,Log-Transformed
2024-06-07,Ammonium (NH4-N),Sorghum,ppm,4,0.027,0.012,b,2.881909294136815e-5,2.3884112899378478e-4,Log-Transformed
2024-06-07,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.015,0.003,b,2.881909294136815e-5,2.3884112899378478e-4,Log-Transformed
2024-06-07,Ammonium (NH4-N),Soy,ppm,4,0.041,0.01,b,2.881909294136815e-5,2.3884112899378478e-4,Log-Transformed
2024-06-07,Nitrate (NO3-N),Corn,ppm,3,8.893,2.437,a,0.012177747617087582,0.023657813097284357,Log-Transformed
2024-06-07,Nitrate (NO3-N),Sorghum,ppm,4,0.81,0.473,b,0.012177747617087582,0.023657813097284357,Log-Transformed
2024-06-07,Nitrate (NO3-N),Sorghum + Rye,ppm,4,1.364,0.068,ab,0.012177747617087582,0.023657813097284357,Log-Transformed
2024-06-07,Nitrate (NO3-N),Soy,ppm,4,1.166,0.381,ab,0.012177747617087582,0.023657813097284357,Log-Transformed
2024-06-07,Total Inorganic N,Corn,ppm,3,10.937,3.879,a,0.0019202880169830179,0.014255893308749172,Log-Transformed
