date,analyte,treatment,variable,n,min,max,median,iqr,mean,sd,se,ci,letter,kruskal_p,test_method,group_type
2023-05-18,Ammonium (NH4-N),Corn,ppm,4,0.595,234.184,0.647,58.456,59.018,116.777,58.389,185.819,,0.363,Kruskal-Wallis,By Date
2023-05-18,Ammonium (NH4-N),Sorghum,ppm,4,0.46,1.138,0.543,0.26,0.671,0.317,0.159,0.505,,0.363,Kruskal-Wallis,By Date
2023-05-18,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.559,1.101,0.767,0.295,0.798,0.241,0.12,0.383,,0.363,Kruskal-Wallis,By Date
2023-05-18,Ammonium (NH4-N),Soy,ppm,3,0.751,1.925,1.033,0.587,1.236,0.613,0.354,1.523,,0.363,Kruskal-Wallis,By Date
2023-05-18,Nitrate (NO3-N),Corn,ppm,4,5.279,98.208,6.81,24.232,29.276,45.963,22.982,73.138,a,0.0232,Kruskal-Wallis,By Date
2023-05-18,Nitrate (NO3-N),Sorghum,ppm,4,4.899,6.309,5.222,0.794,5.413,0.662,0.331,1.053,ab,0.0232,Kruskal-Wallis,By Date
2023-05-18,Nitrate (NO3-N),Sorghum + Rye,ppm,4,1.204,2.731,1.654,0.745,1.811,0.679,0.339,1.08,b,0.0232,Kruskal-Wallis,By Date
2023-05-18,Nitrate (NO3-N),Soy,ppm,3,3.69,7.929,5.183,2.12,5.601,2.15,1.241,5.342,ab,0.0232,Kruskal-Wallis,By Date
2023-05-18,Total Inorganic N,Corn,ppm,4,5.964,332.392,7.411,82.598,88.294,162.734,81.367,258.946,a,0.0289,Kruskal-Wallis,By Date
2023-05-18,Total Inorganic N,Sorghum,ppm,4,5.41,6.913,6.007,0.421,6.084,0.62,0.31,0.987,ab,0.0289,Kruskal-Wallis,By Date
2023-05-18,Total Inorganic N,Sorghum + Rye,ppm,4,1.865,3.832,2.37,0.619,2.609,0.852,0.426,1.356,b,0.0289,Kruskal-Wallis,By Date
2023-05-18,Total Inorganic N,Soy,ppm,3,4.441,9.854,6.216,2.707,6.837,2.76,1.593,6.856,ab,0.0289,Kruskal-Wallis,By Date
2023-12-14,Ammonium (NH4-N),Corn,ppm,4,0.472,3.881,1.339,1.822,1.758,1.565,0.782,2.49,,0.764,Kruskal-Wallis,By Date
2023-12-14,Ammonium (NH4-N),Sorghum,ppm,4,0.658,0.811,0.666,0.045,0.7,0.074,0.037,0.118,,0.764,Kruskal-Wallis,By Date
2023-12-14,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.528,0.82,0.67,0.278,0.672,0.164,0.082,0.26,,0.764,Kruskal-Wallis,By Date
2023-12-14,Ammonium (NH4-N),Soy,ppm,3,0.603,0.79,0.623,0.094,0.672,0.103,0.059,0.256,,0.764,Kruskal-Wallis,By Date
2023-12-14,Nitrate (NO3-N),Corn,ppm,4,4.231,10.019,5.531,3.001,6.328,2.673,1.337,4.254,ab,0.0377,Kruskal-Wallis,By Date
2023-12-14,Nitrate (NO3-N),Sorghum,ppm,4,5.223,6.982,5.723,0.83,5.913,0.78,0.39,1.241,ab,0.0377,Kruskal-Wallis,By Date
2023-12-14,Nitrate (NO3-N),Sorghum + Rye,ppm,4,2.554,4.585,4.19,1.003,3.879,0.943,0.471,1.5,a,0.0377,Kruskal-Wallis,By Date
2023-12-14,Nitrate (NO3-N),Soy,ppm,3,7.366,10.112,9.055,1.373,8.844,1.385,0.8,3.441,b,0.0377,Kruskal-Wallis,By Date
2023-12-14,Total Inorganic N,Corn,ppm,4,4.923,13.9,6.76,4.933,8.086,4.233,2.116,6.735,,0.0597,Kruskal-Wallis,By Date
2023-12-14,Total Inorganic N,Sorghum,ppm,4,6.034,7.64,6.389,0.799,6.613,0.737,0.369,1.173,,0.0597,Kruskal-Wallis,By Date
2023-12-14,Total Inorganic N,Sorghum + Rye,ppm,4,3.081,5.404,4.86,0.87,4.551,1.025,0.513,1.631,,0.0597,Kruskal-Wallis,By Date
2023-12-14,Total Inorganic N,Soy,ppm,3,7.988,10.902,9.658,1.457,9.516,1.462,0.844,3.631,,0.0597,Kruskal-Wallis,By Date
2024-06-07,Ammonium (NH4-N),Corn,ppm,3,2.864,32.905,3.979,15.02,13.249,17.031,9.833,42.308,a,0.0355,Kruskal-Wallis,By Date
2024-06-07,Ammonium (NH4-N),Sorghum,ppm,4,0.046,0.375,0.118,0.085,0.164,0.144,0.072,0.23,ab,0.0355,Kruskal-Wallis,By Date
2024-06-07,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.045,0.149,0.087,0.048,0.092,0.045,0.022,0.071,b,0.0355,Kruskal-Wallis,By Date
2024-06-07,Ammonium (NH4-N),Soy,ppm,4,0.088,0.361,0.267,0.115,0.245,0.117,0.058,0.186,ab,0.0355,Kruskal-Wallis,By Date
2024-06-07,Nitrate (NO3-N),Corn,ppm,3,31.41,89.005,48.128,28.798,56.181,29.63,17.107,73.606,,0.0569,Kruskal-Wallis,By Date
2024-06-07,Nitrate (NO3-N),Sorghum,ppm,4,0.157,11.763,3.913,8.422,4.937,5.734,2.867,9.124,,0.0569,Kruskal-Wallis,By Date
2024-06-07,Nitrate (NO3-N),Sorghum + Rye,ppm,4,7.211,9,8.766,0.618,8.436,0.829,0.414,1.319,,0.0569,Kruskal-Wallis,By Date
2024-06-07,Nitrate (NO3-N),Soy,ppm,4,0.164,9.425,9.156,2.474,6.975,4.543,2.272,7.229,,0.0569,Kruskal-Wallis,By Date
2024-06-07,Total Inorganic N,Corn,ppm,3,34.274,121.91,52.107,43.818,69.43,46.315,26.74,115.054,a,0.0498,Kruskal-Wallis,By Date
2024-06-07,Total Inorganic N,Sorghum,ppm,4,0.203,12.137,4.032,8.502,5.101,5.855,2.928,9.317,a,0.0498,Kruskal-Wallis,By Date
2024-06-07,Total Inorganic N,Sorghum + Rye,ppm,4,7.313,9.15,8.824,0.651,8.528,0.831,0.415,1.322,a,0.0498,Kruskal-Wallis,By Date
2024-06-07,Total Inorganic N,Soy,ppm,4,0.462,9.622,9.399,2.46,7.221,4.508,2.254,7.173,a,0.0498,Kruskal-Wallis,By Date
2024-07-17,Ammonium (NH4-N),Corn,ppm,3,0.405,0.634,0.42,0.115,0.486,0.128,0.074,0.319,,0.779,Kruskal-Wallis,By Date
2024-07-17,Ammonium (NH4-N),Sorghum,ppm,4,0.378,0.507,0.492,0.039,0.467,0.06,0.03,0.096,,0.779,Kruskal-Wallis,By Date
2024-07-17,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.365,0.51,0.404,0.057,0.421,0.064,0.032,0.101,,0.779,Kruskal-Wallis,By Date
2024-07-17,Ammonium (NH4-N),Soy,ppm,4,0.374,0.589,0.434,0.081,0.458,0.093,0.047,0.149,,0.779,Kruskal-Wallis,By Date
2024-07-17,Nitrate (NO3-N),Corn,ppm,3,5.104,8.106,6.885,1.501,6.698,1.51,0.872,3.75,,0.116,Kruskal-Wallis,By Date
2024-07-17,Nitrate (NO3-N),Sorghum,ppm,4,1.823,10.346,4.808,3.781,5.446,3.669,1.834,5.837,,0.116,Kruskal-Wallis,By Date
2024-07-17,Nitrate (NO3-N),Sorghum + Rye,ppm,4,3.113,6.52,4.62,0.943,4.718,1.396,0.698,2.222,,0.116,Kruskal-Wallis,By Date
2024-07-17,Nitrate (NO3-N),Soy,ppm,4,7.077,10.17,7.925,1.611,8.274,1.402,0.701,2.231,,0.116,Kruskal-Wallis,By Date
2024-07-17,Total Inorganic N,Corn,ppm,3,5.509,8.74,7.305,1.616,7.185,1.619,0.935,4.022,,0.0902,Kruskal-Wallis,By Date
2024-07-17,Total Inorganic N,Sorghum,ppm,4,2.31,10.724,5.31,3.762,5.913,3.619,1.81,5.759,,0.0902,Kruskal-Wallis,By Date
2024-07-17,Total Inorganic N,Sorghum + Rye,ppm,4,3.478,6.938,5.07,1.047,5.139,1.418,0.709,2.257,,0.0902,Kruskal-Wallis,By Date
2024-07-17,Total Inorganic N,Soy,ppm,4,7.529,10.759,8.32,1.614,8.732,1.469,0.735,2.338,,0.0902,Kruskal-Wallis,By Date
2024-11-26,Ammonium (NH4-N),Corn,ppm,3,0.973,1.254,1.04,0.14,1.089,0.147,0.085,0.364,,0.133,Kruskal-Wallis,By Date
2024-11-26,Ammonium (NH4-N),Sorghum,ppm,4,0.659,1.082,0.749,0.236,0.81,0.199,0.1,0.317,,0.133,Kruskal-Wallis,By Date
2024-11-26,Ammonium (NH4-N),Sorghum + Rye,ppm,4,0.885,1.176,1.081,0.128,1.056,0.126,0.063,0.2,,0.133,Kruskal-Wallis,By Date
2024-11-26,Ammonium (NH4-N),Soy,ppm,4,0.813,1.027,0.938,0.078,0.929,0.089,0.044,0.141,,0.133,Kruskal-Wallis,By Date
2024-11-26,Nitrate (NO3-N),Corn,ppm,3,3.898,6.366,4.98,1.234,5.081,1.237,0.714,3.073,,0.26,Kruskal-Wallis,By Date
2024-11-26,Nitrate (NO3-N),Sorghum,ppm,4,2.234,5.307,3.664,1.293,3.717,1.288,0.644,2.05,,0.26,Kruskal-Wallis,By Date
2024-11-26,Nitrate (NO3-N),Sorghum + Rye,ppm,4,3.438,5.746,5.041,0.828,4.816,0.987,0.493,1.57,,0.26,Kruskal-Wallis,By Date
2024-11-26,Nitrate (NO3-N),Soy,ppm,4,3.245,4.296,3.662,0.543,3.716,0.459,0.23,0.731,,0.26,Kruskal-Wallis,By Date
2024-11-26,Total Inorganic N,Corn,ppm,3,4.938,7.62,5.954,1.341,6.171,1.354,0.782,3.363,,0.223,Kruskal-Wallis,By Date
2024-11-26,Total Inorganic N,Sorghum,ppm,4,2.896,6.143,4.534,1.02,4.527,1.331,0.665,2.117,,0.223,Kruskal-Wallis,By Date
2024-11-26,Total Inorganic N,Sorghum + Rye,ppm,4,4.324,6.922,6.122,0.846,5.873,1.104,0.552,1.757,,0.223,Kruskal-Wallis,By Date
2024-11-26,Total Inorganic N,Soy,ppm,4,4.059,5.25,4.636,0.498,4.645,0.499,0.249,0.793,,0.223,Kruskal-Wallis,By Date
2023,Ammonium (NH4-N),Corn,ppm,8,0.472,234.184,0.689,1.855,30.388,82.354,29.117,68.85,,0.638,Kruskal-Wallis,By Year
2023,Ammonium (NH4-N),Sorghum,ppm,8,0.46,1.138,0.66,0.132,0.686,0.214,0.076,0.179,,0.638,Kruskal-Wallis,By Year
2023,Ammonium (NH4-N),Sorghum + Rye,ppm,8,0.528,1.101,0.734,0.281,0.735,0.202,0.071,0.169,,0.638,Kruskal-Wallis,By Year
2023,Ammonium (NH4-N),Soy,ppm,6,0.603,1.925,0.771,0.317,0.954,0.5,0.204,0.525,,0.638,Kruskal-Wallis,By Year
2023,Nitrate (NO3-N),Corn,ppm,8,4.231,98.208,6.355,3.029,17.802,32.541,11.505,27.205,a,0.00173,Kruskal-Wallis,By Year
2023,Nitrate (NO3-N),Sorghum,ppm,8,4.899,6.982,5.49,0.916,5.663,0.721,0.255,0.603,a,0.00173,Kruskal-Wallis,By Year
2023,Nitrate (NO3-N),Sorghum + Rye,ppm,8,1.204,4.585,2.642,2.25,2.845,1.342,0.474,1.122,b,0.00173,Kruskal-Wallis,By Year
2023,Nitrate (NO3-N),Soy,ppm,6,3.69,10.112,7.648,3.045,7.222,2.403,0.981,2.521,a,0.00173,Kruskal-Wallis,By Year
