date,treatment,Ammonium (NH4-N),Nitrate (NO3-N),Total Inorganic N
2023-05-18,Corn,10.45 ± 10.34,5.16 ± 4.08,15.61 ± 14.41
2023-05-18,Sorghum,0.12 ± 0.03,0.93 ± 0.04,1.04 ± 0.04
2023-05-18,Sorghum + Rye,0.14 ± 0.02,0.31 ± 0.05,0.45 ± 0.06
2023-05-18,Soy,0.20 ± 0.05,0.92 ± 0.16,1.12 ± 0.21
2023-12-14,Corn,0.29 ± 0.13,1.05 ± 0.21 ab,1.34 ± 0.34
2023-12-14,Sorghum,0.12 ± 0.01,0.97 ± 0.08 ab,1.09 ± 0.08
2023-12-14,Sorghum + Rye,0.11 ± 0.01,0.65 ± 0.07 b,0.76 ± 0.08
2023-12-14,Soy,0.11 ± 0.01,1.41 ± 0.08 a,1.52 ± 0.08
2024-06-07,Corn,2.04 ± 1.48,8.89 ± 2.44 a,10.94 ± 3.88 a
2024-06-07,Sorghum,0.03 ± 0.01,0.81 ± 0.47 b,0.84 ± 0.48 b
2024-06-07,Sorghum + Rye,0.01 ± 0.00,1.36 ± 0.07 b,1.38 ± 0.07 b
2024-06-07,Soy,0.04 ± 0.01,1.17 ± 0.38 b,1.21 ± 0.38 b
2024-07-17,Corn,0.09 ± 0.02,1.22 ± 0.19,1.30 ± 0.20
2024-07-17,Sorghum,0.08 ± 0.00,1.00 ± 0.35,1.09 ± 0.34
2024-07-17,Sorghum + Rye,0.08 ± 0.01,0.86 ± 0.12,0.94 ± 0.12
2024-07-17,Soy,0.08 ± 0.00,1.49 ± 0.08,1.57 ± 0.08
2024-11-26,Corn,0.18 ± 0.00,0.84 ± 0.07,1.02 ± 0.06
2024-11-26,Sorghum,0.14 ± 0.02,0.66 ± 0.12,0.80 ± 0.12
2024-11-26,Sorghum + Rye,0.19 ± 0.01,0.85 ± 0.09,1.03 ± 0.10
2024-11-26,Soy,0.16 ± 0.01,0.66 ± 0.05,0.82 ± 0.05
