"Year","Treatment","N2O Loss (kg N/ha)","N Leaching (kg N/ha)","Total Environmental Cost (USD/ha)"
"2023","Corn","1.890 ± 1.335 (a)","7.256 ± 3.395 (b)","$165.10"
"","Sorghum","1.228 ± 0.808 (a)","2.798 ± 3.410 (ab)","$71.75"
"","Sorghum + Rye","0.996 ± 0.644 (a)","0.235 ± 0.217 (a)","$20.48"
"","Soy","1.439 ± 0.625 (a)","2.213 ± 3.431 (ab)","$64.32"
"2024","Corn","2.418 ± 1.473 (a)","5.730 ± 3.335 (ab)","$145.35"
"","Sorghum","1.608 ± 1.103 (a)","3.734 ± 4.120 (ab)","$95.24"
"","Sorghum + Rye","0.868 ± 0.546 (a)","0.411 ± 0.395 (a)","$21.68"
"","Soy","1.354 ± 1.400 (a)","16.614 ± 12.106 (b)","$329.93"
"2023-2024","Corn","4.308 ± 1.988","12.986 ± 4.759","$310.45"
"","Sorghum","2.836 ± 1.368","6.532 ± 5.348","$166.98"
"","Sorghum + Rye","1.865 ± 0.844","0.646 ± 0.450","$42.15"
"","Soy","2.793 ± 1.534","18.827 ± 12.583","$394.25"
"Source of Variation","","","",""
"","Treatment","0.03","0.009",""
"","Year","0.66","0.08",""
"","Year × Treatment","0.78","0.04",""
